Date;SP500
27.02.07;1456.38
28.02.07;1451.19
01.03.07;1449.37
02.03.07;1399.04
05.03.07;1406.82
06.03.07;1403.17
07.03.07;1387.17
08.03.07;1374.12
09.03.07;1395.41
12.03.07;1391.97
13.03.07;1401.89
14.03.07;1402.84
15.03.07;1406.60
16.03.07;1377.95
19.03.07;1387.17
20.03.07;1392.28
21.03.07;1386.95
22.03.07;1402.06
23.03.07;1410.94
26.03.07;1435.04
27.03.07;1434.54
28.03.07;1436.11
29.03.07;1437.50
30.03.07;1428.61
02.04.07;1417.23
03.04.07;1422.53
04.04.07;1420.86
05.04.07;1424.55
06.04.07;1424.55
09.04.07;1437.77
10.04.07;1439.37
11.04.07;1443.76
12.04.07;1444.61
13.04.07;1448.39
16.04.07;1438.87
17.04.07;1447.80
18.04.07;1452.85
19.04.07;1468.33
20.04.07;1471.48
23.04.07;1472.50
24.04.07;1470.73
25.04.07;1484.35
26.04.07;1480.93
27.04.07;1480.41
30.04.07;1495.42
01.05.07;1494.25
02.05.07;1494.07
03.05.07;1482.37
04.05.07;1486.30
07.05.07;1495.92
08.05.07;1502.39
09.05.07;1505.62
10.05.07;1509.48
11.05.07;1507.72
14.05.07;1512.58
15.05.07;1491.47
16.05.07;1505.85
17.05.07;1503.15
18.05.07;1501.19
